"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t1","thrpt",1,4,"27,052148","18,738094","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t128","thrpt",128,4,"22,848538","14,716454","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t16","thrpt",16,4,"24,356721","16,197942","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t2","thrpt",2,4,"24,812059","10,360137","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t32","thrpt",32,4,"22,913708","13,891894","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t4","thrpt",4,4,"24,405677","10,022051","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t64","thrpt",64,4,"22,434007","13,110530","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t8","thrpt",8,4,"24,450133","17,470710","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t1","ss",1,4,"2,027386","14,791692","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t128","ss",128,4,"3,611179","28,197372","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t16","ss",16,4,"2,119936","15,516861","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t2","ss",2,4,"2,191823","15,809749","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t32","ss",32,4,"2,152235","15,824547","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t4","ss",4,4,"2,202052","16,034876","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t64","ss",64,4,"2,147147","15,797396","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t8","ss",8,4,"2,102941","15,592219","ms/op"
