"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t1","thrpt",1,6,"4717926,450671","257429,130538","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t128","thrpt",128,6,"2689163,936507","136580,738420","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t16","thrpt",16,6,"3081351,595160","740519,866982","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t2","thrpt",2,6,"3583513,520672","1263863,570247","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t32","thrpt",32,6,"3178738,141132","689859,961408","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t4","thrpt",4,6,"3275250,242651","137842,692446","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t64","thrpt",64,6,"2813630,376288","123873,035699","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t8","thrpt",8,6,"3087908,413448","405979,581503","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t1","ss",1,6,"0,001954","0,008229","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t128","ss",128,6,"0,002367","0,010105","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t16","ss",16,6,"0,002330","0,009852","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t2","ss",2,6,"0,002039","0,008530","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t32","ss",32,6,"0,002144","0,009098","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t4","ss",4,6,"0,002027","0,008460","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t64","ss",64,6,"0,002218","0,009353","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t8","ss",8,6,"0,001880","0,007829","s/op"
